,reference,translation
5504,"He was a sneaking, cold-blooded fellow, with his white hair and pale face, and always fawning round the girls.","he's a battered, lusty bad guy, with his white hair and pale cheeks, and he kept touching the girls."
5505,"Look, I didn't say shit, all right?","I didn't say anything, okay?"
5506,"Yeah, I just thought you had my shit.","yeah, I just thought you had my straw."
5507,"Well, I guess death will solve the issue to everyone's satisfaction.","well, I think death will solve it for all of its satisfaction."
5508,"I get paid shit, but I keep quiet and hang on.","wages are scarce, but I keep my mouth shut, and I'm working."
5509,"Well, that's no good you won't kill many orcs with a blunt blade Come on.","it's not good, you won't kill any goblin with a blunt sword."
5510,"""Over the edge. "" Ah, it's driving me over the blooming edge.","""over the edge."" He's still taking me to the damn edge."
5511,He brings death with him.,he will bring us death.
5512,Shut up! Will you hold the boat a moment?,would you mind waiting with the boat for a minute?
5513,Who fucking knew?,who would have thought?
5514,"For my parents, for Jilly, for Kate when she's 15, and one for you.","for my parents, for Jilly, for Kate when she's 15, and one for you cunts!"
5515,Check the back.,check your ass.
5516,"My team will be there, I will make half a billion dollars, cash. Shit.","my team's gonna win, and I'm gonna make half a billion dollars in cash."
5517,"Yo, transfer!","fool, Transfer!"
5518,Shit. Come on.,"oh, come on."
5519,You're some random punk who sells for me.,you're just another loser who's selling for me.
5520,The nonsense you told me about membranes...,but the nonsense you told me about the membranes...
5521,"Hey Zach, is it true you got an erection in the boys' locker room?","you, Zach, is it true he's in the boys dressing room?"
5522,"Aw, jeez...","oh, shit..."
5523,What the hell call is that. for chrissake?,"what the hell would you call it, for Christ's sake?"
5524,Most of them are just desperate hets after a free lezzy floor show.,most of them are just... hees dyin 'for a lesbian cabaret show for free.
5525,I hate this kind of thing.,I hate this stupid game.
5526,I was a little lonely and a little afraid And... I just did what I always do-- Let some silly romantic fantasy take over.,"I was a little lonely, and I was a little scared... I just did what I usually- I got carried away with some stupid romantic idea."
5527,"No, that dude was a fucking man.","no, this guy was a hell of a guy."
5528,"Pardon my French, dear, but... ...I hope you got some pleasure from it because you've really screwed yourself.","excuse me for speaking, dear, but...... I hope you enjoy a little fun 'cause you really messed up."
5529,"Okay, so, I gotta pay for the funeral, the catering, and all this other shit, and now I gotta pull $30,000 out of my ass?","so I have to pay for the funeral, for the feast and all the rest, and now I have to pull 30 out of my sleeve?"
5530,"First of all, I knocked my knee against your closet!","first of all, I was hitting your fucking knee!"
5531,What's happening here?,what the hell was that?
5532,"Last scrape I was in, I fucked up a lot of people.","when I was last in action, I underwent a lot of people."
5533,Don't be absurd.,how ridiculous.
5534,You ever had your asshole licked by a fat man in an overcoat?,"Babe, did you ever eat a fatty in your coat?"
5535,Until the Jews gave him Typhus.,"yes, until the Jews infected him with the typhoon."
5536,It shows your panties,you can see your panties.
5537,"I killed Greg and Paul, not my dad.",I killed Greg and Paul.
5538,You know how crazy everyone says you are?,do you know how they all say you're crazy?
5539,I told you that this stuff was trouble.,I told you there was trouble with the shit.
5540,The stout guy at table 5.,the fat guy over there at table 5.
5541,They went to a whorehouse.,they went to a brothel.
5542,She will become something worse than my slaughter table.,he's going to be worse than my porcupine.
5543,"We're gonna drive that beast right to them,",we'll drive the beast right to them.
5544,Don't tell anybody you don't own fucking Blonde on Blonde.,don't tell me you don't have Blonde on Blonde.
5545,"One of the Daggers lifted a strangely shaped club from a scabbard at his side, pointing it at the little trader.","one of the Daggers drew a strangely curved hip from its belt holster, aimed at the small traitor."
5546,The fuck is this?,is that it?
5547,FILTHY!,rotten!
5548,Just because you fucked more girls than me does not mean you're smarter.,"just because you slept with more girls, you're not smarter than me."
5549,I will become useless... There would be no reason for me to exist.,"if you die, I will be useless, and there will be no further reason."
5550,You look like a hobo.,you look like an old-timer.
5551,You hitman too?,you're a killer too?
5552,That rat set me up.,the rat set it up.
5553,Will you strangle him until he can't breathe?,you gonna hit him until he can breathe?
5554,Do you have to mumble?,do you have to be crazy?
5555,"If you tell lies like that, you won't go to heaven when you die.","if you say lies like that, you don't get to go to heaven."
5556,I would not put a thief in my mouth to steal my brains.,I wouldn't take anything that robs a man into his mouth.
5557,"Oh, so we carry on until another girl is murdered?",so we keep going until he kills another girl?
5558,I just got punched right in the feels.,I just got my fist right in the gut.
5559,"To fortify the church is rash, to use the headstones folly.","the fortification of the church is premature, to use the gravestones of the foolish."
5560,"Before you met Francine, you were a mack!","before you met Francine, you were a cashier!"
5561,I was screwing over my best friend.,I fucked my best friend.
5562,"It's like we're way past the ""broken up and miserable"" stage... and we're back in the ""having sex again"" stage, so-","it's like we're from a ""breakup and a bad"" phase... back to the ""we have sex"" phase, so..."
5563,"Look, no pitiful loser can defeat a Minotaur.","look, you're no loser, but unbeatable."
5564,"I'll take a needle, and I poke the dome of the aneurysm.",I'll have the needle and I'll puncture the vein of an aneurysm.
5565,"As a matter of fact, uh, just last week I told him to fuck off.","actually, I told him last week to tell him."
5566,"""I'm a very simple girl,"" Catherine said.","""I'm a terrible simpleton,"" Catherine said."
5567,Joker... ... we're gonna have to put you up for the Congressional Medal of Ugly.,we're gonna have to design you for a medal... for tough guys.
5568,"I mean, you think you blew it with the greatest girl ever, and it turns out getting your dick stuck in your zipper was the best thing that ever happened to you.","you think you screwed up with the best girl in the world, and it turns out that the best thing that ever happened to you was when you stepped in the franc's zipper."
5569,"He shot it, too, for the Archbishop.","he's there, too - it was for the Archbishop."
5570,"But one day Rick whips it out and starts rubbin' it on her leg and shit, chasin' her around the living room; I was dyin'.","Rick took him out once, and he kept it on her leg, man, honking her over the living room, almost dying."
5571,Like poof?,like a faggot?
5572,I just care about what happens to you.,I don't care what happens to you.
